epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,377.2,0.56283,0.88304,0.83916,0.94598,0.98871,0.995,0.89121,0.49962,0.81367,0.92435,0.0003664,0.0003664,0.0003664
66,382.828,0.58361,0.87265,0.86944,0.94598,0.98871,0.995,0.89121,0.49962,0.81367,0.92435,0.0003565,0.0003565,0.0003565
67,389.142,0.56727,0.8937,0.87417,0.94598,0.98871,0.995,0.89121,0.49962,0.81367,0.92435,0.0003466,0.0003466,0.0003466
68,395.225,0.53049,0.8687,0.8465,0.93291,0.99711,0.995,0.88708,0.47575,0.773,0.92621,0.0003367,0.0003367,0.0003367
69,401.26,0.53768,0.84214,0.82178,0.93291,0.99711,0.995,0.88708,0.47575,0.773,0.92621,0.0003268,0.0003268,0.0003268
70,407.016,0.52893,0.81536,0.8354,0.93291,0.99711,0.995,0.88708,0.47575,0.773,0.92621,0.0003169,0.0003169,0.0003169
71,412.791,0.57245,0.8714,0.84515,0.93291,0.99711,0.995,0.88708,0.47575,0.773,0.92621,0.000307,0.000307,0.000307
72,418.903,0.54199,0.85518,0.84632,0.92553,0.99227,0.995,0.87454,0.4977,0.765,0.92678,0.0002971,0.0002971,0.0002971
73,424.656,0.54406,0.84773,0.86608,0.92553,0.99227,0.995,0.87454,0.4977,0.765,0.92678,0.0002872,0.0002872,0.0002872
74,430.202,0.54312,0.84017,0.85718,0.92553,0.99227,0.995,0.87454,0.4977,0.765,0.92678,0.0002773,0.0002773,0.0002773
75,435.805,0.52924,0.82139,0.83746,0.92553,0.99227,0.995,0.87454,0.4977,0.765,0.92678,0.0002674,0.0002674,0.0002674
76,441.459,0.53543,0.7795,0.82567,0.93847,0.99819,0.995,0.92858,0.49051,0.73806,0.92047,0.0002575,0.0002575,0.0002575
77,447.249,0.53356,0.82591,0.87373,0.93847,0.99819,0.995,0.92858,0.49051,0.73806,0.92047,0.0002476,0.0002476,0.0002476
78,453.619,0.51246,0.78531,0.8564,0.93847,0.99819,0.995,0.92858,0.49051,0.73806,0.92047,0.0002377,0.0002377,0.0002377
